REF_DATE,City,Age group,Gender,VALUE
1979,Ottawa,65 years and over,Homme,30100.0
1979,Ottawa,65 years and over,Femme,19000.0
1979,Toronto,15 to 24 years,Homme,22900.0
1979,Toronto,15 to 24 years,Femme,20300.0
1979,Toronto,25 to 34 years,Homme,66800.0
1979,Toronto,25 to 34 years,Femme,40300.0
1979,Toronto,35 to 44 years,Homme,80300.0
1979,Toronto,35 to 44 years,Femme,39100.0
1979,Toronto,45 to 54 years,Homme,81400.0
1979,Toronto,45 to 54 years,Femme,37500.0
1979,Toronto,55 to 64 years,Homme,71300.0
1979,Toronto,55 to 64 years,Femme,31000.0
1979,Toronto,65 years and over,Homme,25200.0
1979,Toronto,65 years and over,Femme,17100.0
1979,Winnipeg,15 to 24 years,Homme,25100.0
1979,Winnipeg,15 to 24 years,Femme,19600.0
1979,Winnipeg,25 to 34 years,Homme,66800.0
1979,Winnipeg,25 to 34 years,Femme,28900.0
1979,Winnipeg,35 to 44 years,Homme,77900.0
1979,Winnipeg,35 to 44 years,Femme,27600.0
1979,Winnipeg,45 to 54 years,Homme,84700.0
1979,Winnipeg,45 to 54 years,Femme,24600.0
1979,Winnipeg,55 to 64 years,Homme,68100.0
1979,Winnipeg,55 to 64 years,Femme,21200.0
1979,Winnipeg,65 years and over,Homme,25000.0
1979,Winnipeg,65 years and over,Femme,16200.0
1979,Calgary,15 to 24 years,Homme,35800.0
1979,Calgary,15 to 24 years,Femme,28200.0
1979,Calgary,25 to 34 years,Homme,69600.0
1979,Calgary,25 to 34 years,Femme,35700.0
1979,Calgary,35 to 44 years,Homme,94400.0
1979,Calgary,35 to 44 years,Femme,34200.0
1979,Calgary,45 to 54 years,Homme,77500.0
1979,Calgary,45 to 54 years,Femme,37200.0
1979,Calgary,55 to 64 years,Homme,80600.0
1979,Calgary,55 to 64 years,Femme,30300.0
1979,Calgary,65 years and over,Homme,36700.0
1979,Calgary,65 years and over,Femme,18800.0
1979,Edmonton,15 to 24 years,Homme,36100.0
1979,Edmonton,15 to 24 years,Femme,22700.0
1979,Edmonton,25 to 34 years,Homme,69800.0
1979,Edmonton,25 to 34 years,Femme,36200.0
1979,Edmonton,35 to 44 years,Homme,94600.0
1979,Edmonton,35 to 44 years,Femme,36100.0
1979,Edmonton,45 to 54 years,Homme,88200.0
1979,Edmonton,45 to 54 years,Femme,31300.0
1979,Edmonton,55 to 64 years,Homme,80000.0
1979,Edmonton,55 to 64 years,Femme,29000.0
1979,Edmonton,65 years and over,Homme,28200.0
1979,Edmonton,65 years and over,Femme,17400.0
1979,Vancouver,15 to 24 years,Homme,31400.0
1979,Vancouver,15 to 24 years,Femme,21600.0
1979,Vancouver,25 to 34 years,Homme,74700.0
1979,Vancouver,25 to 34 years,Femme,33400.0
1979,Vancouver,35 to 44 years,Homme,92000.0
1979,Vancouver,35 to 44 years,Femme,32400.0
1979,Vancouver,45 to 54 years,Homme,86000.0
1979,Vancouver,45 to 54 years,Femme,27300.0
1979,Vancouver,55 to 64 years,Homme,78800.0
1979,Vancouver,55 to 64 years,Femme,26300.0
1979,Vancouver,65 years and over,Homme,26200.0
1979,Vancouver,65 years and over,Femme,17100.0
1980,Québec,15 to 24 years,Homme,18900.0
1980,Québec,15 to 24 years,Femme,20100.0
1980,Québec,25 to 34 years,Homme,56300.0
1980,Québec,25 to 34 years,Femme,40600.0
1980,Québec,35 to 44 years,Homme,80800.0
1980,Québec,35 to 44 years,Femme,36700.0
1980,Québec,45 to 54 years,Homme,79400.0
1980,Québec,45 to 54 years,Femme,
1980,Québec,55 to 64 years,Homme,
1980,Québec,55 to 64 years,Femme,
1980,Québec,65 years and over,Homme,
1980,Québec,65 years and over,Femme,15900.0
1980,Montréal,15 to 24 years,Homme,22800.0
1980,Montréal,15 to 24 years,Femme,23600.0
1980,Montréal,25 to 34 years,Homme,62600.0
1980,Montréal,25 to 34 years,Femme,38500.0
1980,Montréal,35 to 44 years,Homme,69500.0
1980,Montréal,35 to 44 years,Femme,33800.0
1980,Montréal,45 to 54 years,Homme,72400.0
1980,Montréal,45 to 54 years,Femme,30400.0
1980,Montréal,55 to 64 years,Homme,70200.0
1980,Montréal,55 to 64 years,Femme,22800.0
1980,Montréal,65 years and over,Homme,24300.0
1980,Montréal,65 years and over,Femme,18500.0
1980,Ottawa,15 to 24 years,Homme,14000.0
1980,Ottawa,15 to 24 years,Femme,19200.0
1980,Ottawa,25 to 34 years,Homme,70300.0
1980,Ottawa,25 to 34 years,Femme,50800.0
1980,Ottawa,35 to 44 years,Homme,80900.0
1980,Ottawa,35 to 44 years,Femme,27300.0
1980,Ottawa,45 to 54 years,Homme,82100.0
1980,Ottawa,45 to 54 years,Femme,40800.0
1980,Ottawa,55 to 64 years,Homme,92900.0
1980,Ottawa,55 to 64 years,Femme,30700.0
1980,Ottawa,65 years and over,Homme,
1980,Ottawa,65 years and over,Femme,18700.0
1980,Toronto,15 to 24 years,Homme,19900.0
1980,Toronto,15 to 24 years,Femme,19300.0
1980,Toronto,25 to 34 years,Homme,67500.0
1980,Toronto,25 to 34 years,Femme,37600.0
1980,Toronto,35 to 44 years,Homme,83500.0
1980,Toronto,35 to 44 years,Femme,38900.0
1980,Toronto,45 to 54 years,Homme,82800.0
1980,Toronto,45 to 54 years,Femme,36500.0
1980,Toronto,55 to 64 years,Homme,78400.0
1980,Toronto,55 to 64 years,Femme,34700.0
1980,Toronto,65 years and over,Homme,30300.0
1980,Toronto,65 years and over,Femme,20600.0
1980,Winnipeg,15 to 24 years,Homme,19500.0
1980,Winnipeg,15 to 24 years,Femme,17300.0
